@relation communication_pattern.2016-0924-1007pattern-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2_predicted

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute 'prediction margin' numeric
@attribute 'predicted class' {streaming,sencing,kensaku}
@attribute class {streaming,sencing,kensaku}

@data
58.936053,1.924796,862.403528,146.167513,0.333333,sencing,sencing
13556,0,90,0,0.333333,sencing,sencing
167.509766,1433.52432,403.923828,652.469596,0.333333,sencing,sencing
340.996,424.951221,91.08,9.799673,0.333333,sencing,sencing
598.521127,5.686305,113,0,0.333333,sencing,sencing
2213.454545,2146.707071,250.363636,71.981403,0.333333,sencing,sencing
1424.537037,2623.742399,100,28.284271,0.333333,sencing,sencing
3163.9375,7453.253195,95.625,21.785531,0.333333,sencing,sencing
422.846535,955.168277,92.227723,13.983286,0.333333,sencing,sencing
1764.886364,1813.92365,2525.477273,1689.266913,0.333333,sencing,sencing
511.721212,894.9112,98.727273,26.632485,0.333333,sencing,sencing
394.460094,760.287748,92.112676,13.626351,0.333333,sencing,sencing
1069.763889,1930.159331,96.25,22.878757,0.333333,sencing,sencing
2534.347826,5354.454428,93.913043,18.353801,0.333333,sencing,sencing
2269.757576,3082.03989,98.181818,25.873181,0.333333,sencing,sencing
496.390533,859.563018,97.455621,24.807653,0.333333,sencing,sencing
1293.640625,1835.240493,725.65625,890.516901,0.333333,sencing,sencing
451.836842,950.545804,93.789474,18.074638,0.333333,sencing,sencing
606.673759,1265.70167,94.468085,19.549012,0.333333,sencing,sencing
1421.090909,3442.982163,96.136364,22.685188,0.333333,sencing,sencing
321.389831,2843.547036,425.601695,548.962336,0.333333,sencing,sencing
1215.757433,3430.777024,13237.459786,6121.972974,0.333333,streaming,streaming
691.692729,3465.220862,11668.934265,6102.342414,0.333333,streaming,streaming
607.4377,3820.442615,12194.372882,6175.665025,0.333333,streaming,streaming
907.473736,4096.501146,12046.354877,5920.408297,0.333333,streaming,streaming
464.253105,3456.216568,22328.156041,6108.101956,0.333333,streaming,streaming
1070.039669,3590.525205,13587.540691,6135.057134,0.333333,streaming,streaming
535.138707,7033.56617,12414.595653,5863.238447,0.333333,streaming,streaming
667.409447,5134.832418,11327.868644,6080.906768,0.333333,streaming,streaming
608.262989,5217.948133,12564.429047,6128.568644,0.333333,streaming,streaming
611.734359,3536.350005,12466.758323,6135.150302,0.333333,streaming,streaming
1213.023822,4088.8919,20867.665225,6319.498764,0.333333,streaming,streaming
654.331165,4082.502874,12287.89417,6141.979165,0.333333,streaming,streaming
1314.343559,6778.622921,11065.088551,6208.075239,0.333333,streaming,streaming
702.578974,3701.030943,13357.744927,6135.839587,0.333333,streaming,streaming
1216.721299,3630.145916,16752.167661,6170.24644,0.333333,streaming,streaming
1256.248425,6947.583358,14512.822249,6057.242631,0.333333,streaming,streaming
1335.476425,7171.197507,11246.675463,6497.990281,0.333333,streaming,streaming
393.832723,3289.925833,22342.376227,5948.220846,0.333333,streaming,streaming
1162.355997,5354.686849,12771.389961,6102.587021,0.333333,streaming,streaming
1104.54172,7029.953136,12344.366316,5866.464475,0.333333,streaming,streaming
1162.688641,6825.898307,12325.584329,5976.154214,0.333333,streaming,streaming
544.253978,3880.053371,22058.602926,5919.221982,0.333333,streaming,streaming
791.315506,3509.252586,21939.740539,5947.312807,0.333333,streaming,streaming
1174.620244,3962.097864,20624.965271,6309.730338,0.333333,streaming,streaming
738.691862,3340.956237,22331.021962,6080.683845,0.333333,streaming,streaming
1166.25765,6791.976433,12325.026142,6079.200303,0.333333,streaming,streaming
1225.551114,3632.0814,17282.870606,6213.43752,0.333333,streaming,streaming
1214.377233,3301.392096,21740.271619,6061.864618,0.333333,streaming,streaming
903.019529,6950.906271,11146.912093,5894.365706,0.333333,streaming,streaming
690.182958,6872.372244,11537.883402,5890.326678,0.333333,streaming,streaming
1150.534186,6053.310519,12406.178125,6095.839709,0.333333,streaming,streaming
726.756306,3762.059248,21857.509709,5964.455827,0.333333,streaming,streaming
1103.192139,3730.965173,21547.232966,6197.505696,0.333333,streaming,streaming
649.914699,3838.5849,11610.081789,6161.273799,0.333333,streaming,streaming
722.938214,4500.267034,11178.691862,6186.321594,0.333333,streaming,streaming
1230.084918,4691.658456,18417.719268,6270.105634,0.333333,streaming,streaming
1216.9471,4119.083829,20673.211641,6304.651134,0.333333,streaming,streaming
1225.943743,3410.337411,13648.981998,6134.65261,0.333333,streaming,streaming
1180.058581,6762.429579,13251.525474,6080.041791,0.333333,streaming,streaming
1022.958533,3716.263015,21588.550844,6061.261442,0.333333,streaming,streaming
627.309409,6945.4616,13109.308128,6049.123971,0.333333,streaming,streaming
642.393435,3412.059491,12715.736786,5893.803931,0.333333,streaming,streaming
833.700996,6956.057671,13638.876146,6031.555761,0.333333,streaming,streaming
166.978894,1046.474072,1771.910776,16666.555713,0.333333,kensaku,kensaku
18541.748921,241.989736,68577.923206,13747.578499,0.333333,kensaku,kensaku
197.028969,1248.027406,2095.464059,11377.050359,0.333333,kensaku,kensaku
144.056119,1645.082343,917.08735,6377.853222,0.333333,kensaku,kensaku
145.045643,2299.351771,773.423788,5790.279563,-0.333333,streaming,kensaku
187.88367,2403.52281,885.330061,7185.057878,0.333333,kensaku,kensaku
24043.961571,156.211599,80477.17212,6065.233511,0.333333,kensaku,kensaku
172.647557,1085.612633,1768.260356,16866.845403,0.333333,kensaku,kensaku
24950.391866,1248.492671,121882.804069,2704.516832,0.333333,kensaku,kensaku
169.803362,1006.022603,2278.466252,17389.572606,0.333333,kensaku,kensaku
25140.373974,515.174362,130592.816922,2214.775286,0.333333,kensaku,kensaku
176.216181,1162.068198,1216.641128,13986.020064,0.333333,kensaku,kensaku
242.029603,2376.551157,879.925724,4942.601068,-0.333333,streaming,kensaku
218.581343,2332.290449,922.685742,5224.442325,-0.333333,streaming,kensaku
7210.69806,471.558051,3906.268428,14526.825258,0.333333,kensaku,kensaku
156.435766,1071.014532,945.6859,17731.789654,0.333333,kensaku,kensaku
216.242537,2411.245801,774.285193,5689.824969,-0.333333,streaming,kensaku
192.371616,1973.387019,768.268961,6679.91351,0.333333,kensaku,kensaku
191.170707,2194.904276,983.720396,7190.307374,0.333333,kensaku,kensaku
165.212858,1599.675306,1289.92916,6682.030025,0.333333,kensaku,kensaku
164.090059,1953.265779,931.733857,5859.368714,0.333333,kensaku,kensaku
168.480128,1089.164018,1879.775355,17838.717921,0.333333,kensaku,kensaku
26804.436246,1070.644568,84404.332179,4190.018487,0.333333,kensaku,kensaku
171.506443,1657.985077,1274.64861,10851.639927,0.333333,kensaku,kensaku
171.661737,1653.351525,1025.973163,10097.681456,0.333333,kensaku,kensaku
158.731689,1165.323276,1818.546439,17936.082211,0.333333,kensaku,kensaku
207.489777,2107.858332,1037.978528,6805.599442,0.333333,kensaku,kensaku
188.611315,1507.858439,1742.196136,12883.428905,0.333333,kensaku,kensaku
184.277338,1291.48445,1695.46036,11240.243893,0.333333,kensaku,kensaku
202.100488,2234.629122,983.329692,7671.487619,0.333333,kensaku,kensaku
165.517007,1835.780083,1010.65646,6667.365691,0.333333,kensaku,kensaku
182.243261,1052.139809,1688.770131,12090.425716,0.333333,kensaku,kensaku
15379.345566,274.997772,67471.136155,12181.737054,0.333333,kensaku,kensaku
9488.612244,65.178668,1227156.57976,95.343683,0.333333,kensaku,kensaku
153.15634,1008.520495,1189.573336,17697.170652,0.333333,kensaku,kensaku
170.66903,1608.417687,1157.625285,10122.623818,0.333333,kensaku,kensaku
181.997197,1422.502953,1731.443922,11304.00024,0.333333,kensaku,kensaku
19794.520868,3.227308,737409.406807,70.652515,0.333333,kensaku,kensaku
153.576878,1017.778023,1345.961256,17354.988525,0.333333,kensaku,kensaku
15002.811916,0.558815,1228059.689408,17.16112,0.333333,kensaku,kensaku
176.265434,1098.160902,1613.765921,14967.726867,0.333333,kensaku,kensaku
148.745356,1004.804831,926.551811,17581.855868,0.333333,kensaku,kensaku
172.602461,2317.603465,1294.013298,10170.650015,0.333333,kensaku,kensaku
32395.367664,5.317302,153565.518511,106.585675,0.333333,kensaku,kensaku
13353.346536,460.343847,68603.195999,7069.015583,0.333333,kensaku,kensaku
191.262434,1645.242905,1491.435393,12659.299919,0.333333,kensaku,kensaku
145.456913,2372.295696,768.809335,6728.471953,0.333333,kensaku,kensaku
203.073478,2300.158283,830.538765,8240.037366,0.333333,kensaku,kensaku
202.300187,2179.620056,963.817545,7687.161152,0.333333,kensaku,kensaku
58.959694,1.528434,875.123002,93.816476,0.333333,sencing,sencing
593.873239,1076.362195,98.873239,26.830154,0.333333,sencing,sencing
59.46391,5.693459,74.081289,36.52846,0.333333,sencing,sencing
331.914634,313.703418,90.731707,8.081971,0.333333,sencing,sencing
1973.255814,1826.964379,2585.186047,1722.784661,0.333333,sencing,sencing
26967.5,26908.5,90,0,0.333333,sencing,sencing
383.685185,684.273211,92.083333,13.533651,0.333333,sencing,sencing
4206.466667,7878.21379,96,22.449944,0.333333,sencing,sencing
4009.6,1283.990202,622,0,0.333333,sencing,sencing
218.58312,92.719927,775.84399,388.614864,0.333333,sencing,sencing
